US1,US2,US3,US4,US5,US6,US7,US8,US9,US10,US11,US12,US13,US14,US15,US16,US17,US18,US19,US20,US21,US22,US23,US24,Class
-1.2538814892,-1.277912354,0.9272253903,0.6671146568,1.5243502417,0.0233335671,1.1663692605,0.0635176928,-0.5973780131,-0.1539833127,-0.6334150305,-0.3360089685,-0.3267394177,-0.3186597521,-0.8573758216,-0.5544592054,-0.525256958,-0.4747166594,-0.4902108301,-0.5337902296,-0.6388299256,-0.8373393337,-0.8409520033,-0.9748176619,Sharp-Right-Turn
-1.2439163812,-1.2722391822,0.9320352616,0.6716970195,1.5243502417,0.0248929299,1.1663692605,0.0599191285,-0.6010627061,-0.1601002549,-0.6370329004,-0.3416121011,-0.3317139494,-0.3211964184,-0.8608734775,-0.5681133417,-0.5241954712,-0.4758408529,-0.4893371856,-0.5320381456,-0.6331957379,-0.8341580356,-0.8355317283,-0.9678640416,Sharp-Right-Turn
-1.2339512733,-1.264438571,0.936845133,0.6732244737,1.5243502417,0.0256726114,1.1663692605,0.0590194875,-0.6062212763,-0.163158726,-0.6377564744,-0.3480156811,-0.3373991286,-0.580570546,-0.8643711333,-0.5653825144,-0.525256958,-0.4769650464,-0.4902108301,-0.5250298098,-0.6275615503,-0.8309767376,-0.8293371283,-0.9617796238,Sharp-Right-Turn
-1.2302143578,-1.264438571,0.9392500687,0.6632960212,1.5243502417,0.0272319742,1.1663692605,-0.1973782144,-0.6054843377,1.6742177838,-0.6529515283,-0.3512174712,-0.3409523656,-0.5837413788,-0.8445510834,-0.5271509328,-0.5273799315,-0.4792134334,-0.4919581193,-0.5224016839,-0.6253078753,-0.8297042184,-0.8285628033,-0.9583028136,Sharp-Right-Turn
-1.2302143578,-1.2729483287,0.9456632305,0.6610048398,-0.0101193248,0.0256726114,1.1663692605,-0.1928800091,-0.6040104605,-0.1623941082,-0.6522279543,-0.3512174712,-0.3409523656,-0.5837413788,-0.8428022555,-0.6090757506,-0.5273799315,-0.4803376268,-0.4928317638,-0.4987485506,-0.6253078753,-0.830340478,-0.8277884783,-0.9583028136,Sharp-Right-Turn
-1.2327056348,-1.2814580863,0.9584895541,0.6625322941,-0.0048924212,0.0264522928,1.1663692605,0.3963848846,-0.6032735219,-0.3848978803,-0.6507808063,-0.3504170237,-0.3423736604,-0.585009712,-0.8445510834,-0.6090757506,-0.5284414183,-0.4814618203,-0.4945790529,-0.4934922988,-0.6275615503,-0.8297042184,-0.8285628033,-0.9600412187,Sharp-Right-Turn
-1.2339512733,-1.2800397934,0.9560846184,0.6602411127,-0.0026523197,0.0264522928,-0.2787828477,0.3990838078,-1.0505952499,-0.1608648727,-0.6500572323,-0.3496165762,-0.341663013,-0.5824730457,-0.8422193129,-0.6118065779,-0.5284414183,-0.4814618203,-0.4945790529,-0.4934922988,-0.6241810378,-0.8220691031,-0.8301114533,-0.9609104212,Sharp-Right-Turn
-1.2351969118,-1.277912354,0.9657043611,0.6625322941,-0.0078792233,0.0256726114,-0.2837344212,0.4089798595,-1.0528060656,-0.163158726,-0.6500572323,-0.3488161287,-0.3409523656,-0.5843755454,-0.8416363702,-0.6118065779,-0.5273799315,-0.4814618203,-0.4945790529,-0.4908641729,-0.6241810378,-0.8220691031,-0.8301114533,-0.9609104212,Sharp-Right-Turn
-1.2339512733,-1.2850038187,2.027082641,0.6625322941,-0.0019056191,0.0264522928,-0.2858565242,0.4071805774,-1.0528060656,-0.1608648727,-0.6500572323,-0.3496165762,-0.341663013,-0.5843755454,-0.8398875423,-0.5553694812,-0.5316258786,-0.4814618203,-0.4919581193,-0.4777235432,-0.6241810378,-0.8137977282,-0.8301114533,-0.9609104212,Sharp-Right-Turn
-1.2364425503,1.8955181012,0.9673076516,0.6602411127,-0.0041457207,0.0264522928,-0.2879786271,0.4071805774,-1.0491213727,-0.1608648727,-0.6515043803,-0.3488161287,-0.341663013,-0.5843755454,-0.812489238,-0.5590105842,-0.5316258786,-0.4825860138,-0.4954526975,-0.4961204247,-0.6241810378,-0.8252504011,-0.8301114533,-0.9609104212,Sharp-Right-Turn
-1.2351969118,-1.2913861369,2.0278842863,0.6632960212,-0.0131061269,0.0280116556,-0.2872712595,0.3963848846,-1.0505952499,-0.1654525793,-0.6493336583,-0.3488161287,-0.341663013,-0.5831072122,-0.8113233527,-0.5089454177,-0.529502905,-0.4837102073,-0.4937054084,-0.4838558371,-0.6253078753,-0.8328855164,-0.8293371283,-0.9609104212,Sharp-Right-Turn
-1.2364425503,1.8955181012,2.0278842863,0.6602411127,-0.0116127259,0.0287913371,-0.2893933624,0.4098795005,-1.052069127,-0.3978963824,-0.6486100843,-0.3488161287,-0.3423736604,-0.5812047125,-0.8130721807,-0.5326125873,-0.529502905,-0.4848344008,-0.4954526975,-0.4391776964,-0.6253078753,-0.8354305549,-0.8293371283,-0.9609104212,Sharp-Right-Turn
-1.2364425503,1.8955181012,2.0286859315,0.6610048398,-0.0101193248,0.0295710185,-0.2893933624,0.4107791416,-1.0505952499,-0.3971317647,-0.6478865104,-0.3488161287,-0.3423736604,-0.5837413788,-0.7565267442,-0.5335228631,-0.5305643918,-0.4859585942,-0.4971999866,-0.5022527185,-0.6264347128,-0.8386118529,-0.8339830783,-0.9609104212,Slight-Right-Turn
-1.2339512733,-1.289967844,2.0294875767,0.6594773856,-0.0033990202,0.0334694256,-0.2865638918,0.3828902688,-1.0469105569,-0.3971317647,-0.6478865104,-0.3480156811,-0.3430843078,-0.5837413788,-0.3012485394,-0.4770857664,-0.5273799315,-0.4870827877,-0.5024418539,-0.5075089704,-0.6185468501,-0.8392481125,-0.8355317283,-0.9609104212,Slight-Right-Turn
-1.2277230808,-1.288549551,-1.5771142973,0.6610048398,-0.0004122181,0.0350287884,-0.2915154654,0.0779119497,-1.0454366797,-0.3963671469,-0.6442686404,-0.3480156811,-0.3459268974,-0.3332455832,-0.293670285,-0.4607008028,-0.502965736,-0.4882069812,-0.5076837212,-0.4637068717,-0.6208005252,-0.8405206317,-0.8401776783,-0.9600412187,Slight-Right-Turn
-1.2364425503,-1.2807489398,-1.5787175878,0.6617685669,-0.0033990202,0.0350287884,-0.2901007301,0.3747934992,-1.0417519867,-0.3963671469,-0.6435450664,-0.3480156811,-0.3466375448,-0.3364164161,-0.2610254969,-0.4679830088,-0.4838589742,-0.4893311747,-0.5094310103,-0.5145173061,-0.6253078753,-0.8411568913,-0.8440493033,-0.9600412187,Slight-Right-Turn
-1.2351969118,-1.2573471063,-1.5779159426,0.6625322941,-0.0033990202,0.0350287884,-0.2901007301,0.082410155,-1.0395411709,-0.3971317647,-0.6435450664,-0.3480156811,-0.3473481922,-0.3389530823,-0.259276669,-0.4688932846,-0.4636907257,-0.4893311747,-0.5103046549,-0.4540704099,-0.6241810378,-0.8430656701,-0.8440493033,-0.9583028136,Slight-Right-Turn
-1.2339512733,-1.2878404046,2.0310908672,0.6632960212,-0.0033990202,0.034249107,-0.2901007301,0.0779119497,-1.0454366797,-0.3978963824,-0.6435450664,-0.3496165762,-0.3480588396,-0.3395872489,-0.2621913822,-0.4688932846,-0.4721826198,-0.4893311747,-0.5094310103,-0.5013766765,-0.6230542002,-0.8398843721,-0.8401776783,-0.957433611,Slight-Right-Turn
-1.2327056348,-1.2757849146,-1.5755110069,0.6632960212,-0.0041457207,0.034249107,-0.2908080977,0.0797112318,-1.0461736183,-0.3978963824,-0.6457157884,-0.3504170237,-0.3487694869,-0.3402214155,-0.2621913822,-0.5790366507,-0.4679366728,-0.4893311747,-0.5085573658,-0.5005006346,-0.6219273627,-0.8392481125,-0.8417263283,-0.957433611,Slight-Right-Turn
-1.2327056348,-1.2750757681,-1.5779159426,0.6632960212,-0.0019056191,0.0365881513,-0.2908080977,0.0779119497,-1.0461736183,-0.3978963824,-0.6464393624,-0.3504170237,-0.3487694869,-0.3402214155,-0.2621913822,-0.5790366507,-0.4605062654,-0.4893311747,-0.5085573658,-0.5031287605,-0.6230542002,-0.8392481125,-0.8417263283,-0.957433611,Slight-Right-Turn
-1.2327056348,-1.277912354,-1.5755110069,0.6632960212,-0.0041457207,0.0365881513,-0.2908080977,0.0806108729,-1.0439628025,-0.3986610002,-0.6435450664,-0.3504170237,-0.3487694869,-0.3402214155,-0.2621913822,-0.581767478,-0.4753670801,-0.4893311747,-0.5085573658,-0.5153933481,-0.6219273627,-0.8392481125,-0.8417263283,-0.9565644085,Slight-Right-Turn
-1.2327056348,-1.2871312581,-1.5755110069,0.6632960212,-0.0041457207,0.0365881513,-0.2908080977,0.0797112318,-1.0439628025,-0.3986610002,-0.6435450664,-0.3504170237,-0.3487694869,-0.3402214155,-0.2627743249,-0.581767478,-0.4721826198,-0.4893311747,-0.5094310103,-0.518021474,-0.6219273627,-0.8392481125,-0.8417263283,-0.9565644085,Slight-Right-Turn
-1.2302143578,-1.2857129651,-1.5747093617,0.6648234754,-0.0033990202,0.0350287884,-0.2901007301,0.3747934992,-1.0454366797,-0.399425618,-0.6449922144,-0.3520179187,-0.3501907817,-0.3414897486,-0.2639402102,-0.4734446633,-0.4827974875,-0.4893311747,-0.5094310103,-0.4663349976,-0.6208005252,-0.8405206317,-0.8409520033,-0.9522183958,Slight-Right-Turn
-1.2264774423,-1.2722391822,-1.5747093617,0.6663509296,-0.0026523197,0.0373678327,-0.292222833,0.3756931403,-1.0446997411,-0.4017194713,-0.6493336583,-0.3544192612,-0.3530333713,-0.3440264149,-0.2662719807,-0.6072551991,-0.4764285669,-0.4904553682,-0.5103046549,-0.4829797951,-0.6174200126,-0.8392481125,-0.8394033533,-0.9522183958,Slight-Right-Turn
-1.2202492498,-1.2694025963,-1.5690978451,0.6694058381,-0.0019056191,0.0381475141,-0.2893933624,0.8381086447,-1.0476474955,-0.4040133246,-0.6529515283,-0.3584214988,-0.3565866083,-0.3452947481,-0.269186694,-0.6154476809,-0.4721826198,-0.4904553682,-0.5111782994,-0.5171454321,-0.6140395,-0.8373393337,-0.8370803783,-0.9478723831,Slight-Right-Turn
-1.2177579729,-1.2679843034,-1.5642879737,0.6724607466,-0.0019056191,0.0381475141,-0.2915154654,0.4611590409,-1.0542799428,-0.4086010313,-0.6543986763,-0.3632241838,-0.3608504927,-0.3497339141,-0.2482007588,-0.6154476809,-0.4881049213,-0.4904553682,-0.5111782994,-0.4680870815,-0.6084053124,-0.8341580356,-0.8339830783,-0.9391803576,Slight-Right-Turn
-1.2090385034,-1.2679843034,2.0318925124,0.6755156551,0.0010811829,0.0389271955,-0.2893933624,1.0774131664,-0.3902982676,-0.4116595024,-0.6616344162,-0.3688273164,-0.3658250245,-0.3522705803,-0.2785137763,-0.6181785081,-0.4764285669,-0.4904553682,-0.5111782994,-0.5092610543,-0.6027711248,-0.8309767376,-0.8301114533,-0.9330959398,Slight-Right-Turn
-1.1990733954,-1.2630202781,2.0350990933,0.6800980178,1.5243502417,0.039706877,-0.2893933624,0.3801913456,-0.3954568378,-0.4177764446,-0.6623579902,-0.374430449,-0.3672463193,-0.3611489123,-0.3169879908,-0.6154476809,-0.4764285669,-0.4870827877,-0.512051944,-0.5153933481,-0.5960100997,-0.8277954396,-0.8262398283,-0.9261423195,Slight-Right-Turn
-1.1891082875,-1.2573471063,2.0326941576,0.6862078347,0.0078014876,0.0404865584,-0.2886859948,0.4008830899,-1.0638601446,-0.4223641512,-0.6630815642,-0.379233134,-0.3715102036,-0.367490578,-0.3263150731,-0.6172682324,-0.4636907257,-0.4758408529,-0.5129255886,-0.519773558,-0.5892490745,-0.8239778819,-0.8215938783,-0.915711889,Slight-Right-Turn
-1.177897541,-1.2530922275,2.0334958028,0.6907901974,1.5243502417,0.0404865584,-0.2886859948,0.0536216411,-1.0727034077,-0.4277164756,-0.6666994342,-0.3864371616,-0.3807486198,-0.3731980772,-0.950063702,-0.452508321,-0.4679366728,-0.4870827877,-0.5129255886,-0.519773558,-0.5779806993,-0.8195240647,-0.8169479283,-0.9131042813,Sharp-Right-Turn
-1.1666867946,-1.2474190557,-1.4584708038,0.6953725601,1.5243502417,0.0436052841,-0.2886859948,0.0428259484,-1.0785989165,-0.4330688,1.7731920759,-0.3936411892,-0.3871444464,-0.3795397429,-0.3414715818,-0.4579699755,-0.4753670801,-0.4882069812,-0.5129255886,-0.5206496,-0.5813612119,-0.8150702474,-0.8123019783,-0.9026738508,Slight-Right-Turn
-1.1554760481,-1.253801374,2.0359007385,0.6991911957,1.5243502417,0.0428256027,-0.2886859948,0.037428102,-1.0844944253,-0.905602584,1.7731920759,-0.3984438743,-0.3935402729,-0.3877839083,-0.3490498362,-0.6163579566,-0.4435224772,-0.4882069812,-0.5129255886,-0.5206496,-0.5655854866,-0.8106164302,-0.8068817033,-0.8913742178,Slight-Right-Turn
-1.1442653017,-1.2495464951,2.0334958028,0.7037735584,1.5243502417,0.0428256027,-0.2886859948,0.0329298967,-1.0903899341,-0.9117195262,1.7731920759,-0.4056479019,-0.4006467469,-0.3934914075,-0.3548792626,-0.6154476809,-0.422292742,-0.4882069812,-0.5137992331,-0.5206496,-0.5576976239,-0.8061626129,-0.7991384533,-0.8792053821,Slight-Right-Turn
-1.1330545552,-1.2431641769,2.0334958028,0.7114108295,0.5962014966,0.0436052841,-0.2886859948,-0.7911413135,-1.0970223814,-0.9186010862,1.7731920759,-0.413652377,-0.4070425735,-0.3998330732,-0.360708689,-0.456149424,-0.4583832919,-0.4882069812,-0.5137992331,-0.5215256419,-0.5486829237,-0.8017087957,-0.7937181783,-0.8739901669,Slight-Right-Turn
-1.1205981703,-1.2367818587,2.0310908672,0.7137020109,0.611135507,0.0467240098,-0.2886859948,0.3774924224,-1.101444013,-0.9231887928,1.7731920759,-0.4192555095,-0.4148596948,-0.4042722392,-0.5985492877,-0.4670727331,-0.4350305831,-0.4870827877,-0.5137992331,-0.5215256419,-0.5396682235,-0.7972549784,-0.7906208783,-0.8670365465,Slight-Right-Turn
-1.1081417853,-1.229690394,2.0359007385,0.7205755549,0.6178558116,0.049063054,-0.2886859948,0.371194935,-0.4308298904,-0.4598304221,-0.7173496138,-0.4296613272,-0.4219661688,-0.4112480715,-0.6055445995,-0.4188281181,-0.4424609905,-0.4870827877,-0.5137992331,-0.5215256419,-0.5272730108,-0.7902561227,-0.7821033034,-0.8592137237,Slight-Right-Turn
-1.0969310389,-1.2254355152,2.012653027,0.1577086698,0.6215893142,0.0521817797,-0.2886859948,0.3765927813,-0.435251522,-0.4651827465,-0.7216910578,-0.4376658023,-0.4290726428,-0.4194922369,-0.6102081406,-0.4306617029,-0.4881049213,-0.4870827877,-0.5129255886,-0.5224016839,-0.5182583106,-0.7870748247,-0.7766830284,-0.8505216982,Slight-Right-Turn
-1.0857202924,-1.2190531969,2.0350990933,0.1561812156,0.6051619028,0.0576395497,-0.2886859948,0.371194935,-0.4396731535,-0.4705350709,1.7731920759,-0.4440693823,-0.4354684693,-0.4258339026,-0.6148716818,-0.4297514272,-0.4456454508,-0.4870827877,-0.5129255886,-0.5215256419,-0.4957215602,-0.7807122286,-0.7534532784,-0.8426988753,Slight-Right-Turn
-1.0807377384,-1.2105434393,2.0350990933,0.1561812156,0.6021751007,1.6427318821,-0.2886859948,0.3702952939,-0.4418839693,-0.4751227776,-0.7361625377,-0.4536747525,-0.4418642959,-0.4315414017,-0.6195352229,-0.3505574366,-0.4520143713,-0.4859585942,-0.5129255886,-0.5215256419,-0.4743116472,-0.7762584114,-0.7534532784,-0.8340068499,Slight-Right-Turn
-1.0770008229,-1.2048702675,2.012653027,0.1538900342,0.6059086033,1.6427318821,-0.2893933624,0.3720945761,-0.4440947851,-0.480475102,-0.7419511297,-0.46087878,-0.4482601225,-0.4372489009,-0.6236158214,0.3813042692,-0.4392765302,-0.4859585942,-0.5129255886,-0.5215256419,-0.4585359219,-0.7711683345,-0.7565505784,-0.826184027,Slight-Right-Turn
-1.064544438,-1.2006153887,2.012653027,0.7442510956,0.6074020044,1.6427318821,-0.2893933624,0.3747934992,-0.4477794781,-0.9621842993,-0.7484632956,-0.4680828076,-0.454655949,-0.4435905666,-0.6282793626,0.3767528904,-0.4307846361,-0.4859585942,-0.512051944,-0.5215256419,-0.5734733492,-0.7667145173,-0.7488073284,-0.8183612041,Slight-Right-Turn
-1.057070607,-1.1942330705,2.012653027,0.7488334583,0.6088954054,1.6427318821,-0.2893933624,1.0189364976,-0.4551488641,-0.9713597126,-0.7528047396,-0.4752868352,-0.4610517756,-0.4492980657,-0.3595428038,0.3685604087,-0.4371535566,-0.4848344008,-0.512051944,-0.5215256419,4.4894076408,-0.7597156616,-0.7511303034,-0.8096691787,Slight-Right-Turn
-1.0520880531,-1.1878507522,2.012653027,0.7557070023,0.612628908,1.6427318821,-0.2901007301,2.2127601831,-0.4595704956,-0.9774766548,-0.7607640535,-0.4824908628,-0.4681582496,-0.4556397314,-0.6276964199,-0.4079048091,-0.4318461228,-0.4837102073,-0.5111782994,-0.5215256419,-0.5813612119,-0.7546255847,-0.7480330034,-0.8018463558,Slight-Right-Turn
-1.0483511376,-1.1786318481,2.012653027,0.7893109955,0.6193492127,0.0529614612,-0.2901007301,2.2127601831,-0.4595704956,-0.5018843996,-0.7672762195,-0.4896948904,-0.4752647235,-0.4638838969,-0.3694528287,-0.4133664636,-0.4148623346,-0.4702198855,-0.5111782994,-0.5206496,-0.5813612119,-0.7495355079,-0.7418384034,-0.795761938,Slight-Right-Turn
-1.0309121986,-1.1722495299,2.012653027,1.6958550832,0.6208426137,1.6427318821,-0.2908080977,2.2127601831,-0.1655319957,-0.5057074885,-0.7716176634,-0.4976993655,-0.4816605501,-0.4683230629,-0.3746993125,0.3385213088,-0.4254772023,-0.4724682725,-0.5103046549,-0.5206496,-0.5813612119,-0.7393553542,-0.7356438034,-0.78620071,Slight-Right-Turn
-0.9985255978,-1.1651580652,2.012653027,1.6950913561,0.6245761163,0.0475036912,-0.2915154654,2.2127601831,-0.1699536273,-0.5110598129,-0.7766826814,-0.5049033931,-0.4887670241,-0.4765672283,-0.3799457963,0.3357904815,-0.3851407053,-0.471344079,-0.5094310103,-0.519773558,-0.5802343744,-0.6534603072,-0.7294492034,-0.8192304067,Slight-Right-Turn
-0.9748584664,-1.1609031863,-1.4159836068,1.6950913561,0.6536974365,0.0498427355,-0.2893933624,2.2127601831,-0.1736383203,-0.5171767551,1.7869399817,-0.5105065257,-0.495873498,-0.482908894,-0.3851922801,0.3275979997,-0.381956245,-0.469095692,-0.4989472757,-0.5171454321,-0.5768538618,-0.7336290177,-0.7263519034,-0.8157535965,Slight-Right-Turn
-0.9624020814,-1.1509751358,2.012653027,1.694327629,0.6350299236,1.6427318821,-0.2893933624,2.2127601831,-0.1773230133,-0.5225290795,-0.7868127173,-0.5177105533,-0.502979972,-0.4892505597,-0.4277470931,0.3184952422,-0.3692184038,-0.4679714985,-0.5006945648,-0.5162693901,-0.4089550709,-0.6394625959,-0.7170600035,-0.8061923685,Slight-Right-Turn
-0.953682612,-1.1367922064,0.0454156411,1.6928001748,0.6357766241,1.6427318821,-0.2901007301,0.3801913456,-0.1817446448,-0.5286460217,1.7862164078,-0.5257150284,-0.5072438564,-0.4955922254,-0.4481500856,0.3075719332,-0.3798332714,-0.4668473051,-0.4998209202,-0.5162693901,-0.5791075368,2.0500067636,-0.7588735534,-0.805323166,Slight-Right-Turn
-0.941226227,-1.1297007416,2.012653027,1.6920364477,0.6372700251,1.6427318821,-0.2886859948,0.3217146767,-0.1839554606,-0.5271167862,1.7854928338,-0.5329190559,-0.5164822725,-0.5012997246,-0.4598089385,0.3021102786,-0.3808947582,-0.4657231116,-0.4989472757,-0.518021474,-0.5791075368,2.0500067636,-0.7565505784,-0.8035847609,Slight-Right-Turn
-0.9250329266,-1.1353739134,2.012653027,1.6920364477,0.6432436293,1.6427318821,1.1663692605,0.3657970886,-0.1876401536,-0.537821435,1.7869399817,-0.537721741,-0.5228780991,-0.5057388906,-0.4633065944,0.2920972454,-0.3724028641,-0.4601021442,-0.4980736311,-0.5171454321,4.4894076408,-0.7107236719,-0.7007991785,-0.7966311405,Slight-Right-Turn
-0.9175590956,-1.1282824487,-1.3646783123,1.6905089934,0.6447370303,1.6427318821,-0.2901007301,0.3585999602,-0.194272601,-0.5431737594,-0.3063595849,-0.5449257686,-0.5299845731,-0.5120805563,-0.4673871929,0.20106967,-0.3469271818,-0.4589779507,-0.496326342,-0.5162693901,-0.3717694326,-0.7049973354,-0.6946045785,-0.7905467227,Slight-Right-Turn
-0.9063483492,-1.1176452517,2.012653027,1.6928001748,0.6477238324,1.6427318821,-0.2901007301,0.3541017549,-0.197957294,-0.5485260838,-0.3143188988,-0.5521297962,-0.5342484574,-0.5203247217,-0.4732166193,0.1919669125,-0.3511731288,-0.4567295637,-0.4954526975,-0.5145173061,-0.3559937073,-0.6999072585,-0.6884099785,-0.7835931024,Slight-Right-Turn
-0.8901550487,-1.1162269587,2.012653027,1.6912727205,0.6507106345,1.6427318821,-0.2915154654,0.3523024727,-0.2016419869,-0.5523491727,-0.3222782127,-0.5585333763,-0.540644284,-0.5260322208,-0.4790460457,0.1883258095,-0.3448042083,-0.4544811768,-0.4910844747,-0.5127652222,-0.5655854866,-0.6922721432,-0.6822153785,-0.7766394821,Slight-Right-Turn
-0.9374893115,-1.1070080546,-1.3438355364,1.6905089934,0.6544441371,1.6427318821,-0.2901007301,0.3505031906,-0.2038528027,-0.3191407518,-0.3266196567,-0.5633360613,-0.5470401106,-0.5304713868,-0.4872072428,0.1855949822,-0.4764285669,-0.4140102114,-0.4893371856,-0.5101370963,-0.5723465117,-0.6884545856,-0.6752464535,-0.7696858617,Slight-Right-Turn
-0.9312611191,-1.1140995193,2.012653027,1.6897452663,0.6574309391,1.6427318821,-0.2936375683,0.3487039085,-0.2082744343,-0.3199053695,-0.3345789707,-0.5705400889,-0.5520146424,-0.5368130525,-0.4930366692,0.2465834577,-0.4743055934,-0.4454876289,-0.4875898965,-0.5083850123,-0.5588244614,-0.6827282491,-0.6682775285,-0.7618630388,Move-Forward
-0.9200503726,-1.1084263475,-1.3454388269,1.6859266307,0.6611644417,1.6427318821,-0.2936375683,0.3469046264,-0.2134330045,-0.318376134,-0.3410911366,-0.5481275586,-0.5392229892,-0.5456913845,-0.5017808089,0.2393012517,-0.4743055934,-0.3544279569,-0.4858426074,-0.5066329284,-0.5667123241,-0.6789106915,-0.6613086036,-0.7540402159,Move-Forward
-0.9100852647,-1.0999165899,-1.3181828892,-1.4995791739,0.6648979443,1.6427318821,-0.2971744066,0.3442057032,-0.2178546361,-0.3214346051,-0.3454325806,-0.495298023,-0.5392229892,-0.5520330503,-0.5076102353,0.1464531248,-0.4679366728,-0.3769118266,-0.4840953183,-0.5057568864,-0.5678391616,-0.6706393166,-0.6543396786,-0.7470865956,Move-Forward
-0.8017147156,-1.0963708575,-1.3406289555,-1.4881232672,0.6686314469,1.6427318821,-0.2985891419,0.3397074979,-0.2222762676,-0.0041182291,-0.3541154685,-0.4920962329,-0.551303995,-0.558374716,-0.5134396617,0.130978437,-0.4647522125,-0.3735392461,-0.4613805599,-0.5040048025,-0.2985249937,-0.6642767205,-0.6473707536,-0.7366561651,Move-Forward
-0.8851724948,-1.0715507311,-1.3270009867,1.6828717223,0.6723649495,1.6427318821,-0.292222833,0.3361089337,-0.2281717764,-0.3267869295,-0.3613512085,-0.498499813,-0.5576998215,-0.5659847148,-0.5204349735,0.1173243007,0.3876216582,-0.3757876331,-0.4736115836,-0.5013766765,-0.5543171113,-0.6572778649,-0.6388531786,-0.7270949371,Move-Forward
